Name,Motherboard,Memory,Processor,Number,Date
Vikram Gupta,MSI MPG Z590 Gaming Carbon WiFi,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i7-11700K,4,2023-07-20
Radha Rajaram,GIGABYTE X570 AORUS Ultra,Crucial Ballistix RGB 16GB (2 x 8GB),AMD Ryzen 5 5600X,7,2023-07-19
Suresh Narayanan,ASRock B550 Steel Legend,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i9-10900K,8,2023-07-19
Radha Gupta,ASUS ROG Strix B550-F Gaming,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 7 5800X,5,2023-07-17
Swathi Krishnan,GIGABYTE X570 AORUS Ultra,Crucial Ballistix RGB 16GB (2 x 8GB),AMD Ryzen 5 5600X,7,2023-07-21
Vikram Choudhury,MSI B450 TOMAHAWK MAX,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i7-11700K,7,2023-07-16
Prakash Sharma,MSI MPG Z590 Gaming Carbon WiFi,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 7 5800X,1,2023-07-17
Prakash Kumar,MSI B450 TOMAHAWK MAX,Team T-Force Delta RGB 32GB (2 x 16GB),AMD Ryzen 5 5600X,1,2023-07-20
Vikram Kumar,MSI B450 TOMAHAWK MAX,Corsair Vengeance LPX 16GB (2 x 8GB),AMD Ryzen 9 5950X,5,2023-07-18
Swathi Patel,GIGABYTE B550 AORUS Elite,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i7-10700K,1,2023-07-16
Lakshmi Malhotra,MSI MPG Z590 Gaming Carbon WiFi,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i9-11900K,5,2023-07-16
Lakshmi Ramanathan,MSI MPG Z590 Gaming Carbon WiFi,Corsair Vengeance RGB Pro 32GB (2 x 16GB),Intel Core i9-11900K,6,2023-07-20
Nithya Balakrishnan,MSI B450 TOMAHAWK MAX,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i7-11700K,5,2023-07-16
Suresh Rajaram,ASRock B550 Steel Legend,HyperX Predator RGB 16GB (2 x 8GB),AMD Ryzen 7 3700X,7,2023-07-21
Amit Mani,ASRock X570 Taichi,Team T-Force Delta RGB 32GB (2 x 16GB),Intel Core i9-10900K,7,2023-07-21
Lakshmi Mani,GIGABYTE Z490 AORUS Elite AC,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 5 5600X,4,2023-07-15
Priya Narayanan,ASUS ROG Strix B550-F Gaming,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i7-11700K,1,2023-07-21
Anjali Choudhury,ASUS ROG Strix B550-F Gaming,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i9-10900K,6,2023-07-21
Prakash Singh,ASRock B550 Steel Legend,G.Skill Ripjaws V 16GB (2 x 8GB),Intel Core i9-10900K,4,2023-07-17
Anjali Venkataraman,GIGABYTE B550 AORUS Elite,Corsair Vengeance RGB Pro 32GB (2 x 16GB),Intel Core i9-10900K,3,2023-07-15
Ganesh Krishnan,ASRock B550 Steel Legend,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i9-11900K,7,2023-07-18
Priya Mani,MSI MPG Z590 Gaming Carbon WiFi,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 5 5600X,2,2023-07-19
Priya Venkataraman,MSI MPG Z590 Gaming Carbon WiFi,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 9 5900X,1,2023-07-17
Suresh Venkataraman,ASRock B550 Steel Legend,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i9-10900K,1,2023-07-17
Deepika Sharma,ASUS ROG Strix B550-F Gaming,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 5 5600X,1,2023-07-15
Karthik Chopra,GIGABYTE Z490 AORUS Elite AC,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 9 5900X,7,2023-07-18
Radha Verma,ASRock B550 Steel Legend,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 5 5600X,7,2023-07-15
Priya Iyer,ASUS Prime X570-Pro,Crucial Ballistix 16GB (2 x 8GB),AMD Ryzen 9 5900X,4,2023-07-15
Divya Choudhury,ASRock B550 Steel Legend,Crucial Ballistix 16GB (2 x 8GB),AMD Ryzen 7 5800X,3,2023-07-21
Lakshmi Ramanathan,ASRock B550 Steel Legend,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 7 5800X,5,2023-07-21
Priya Choudhury,ASRock B550 Steel Legend,Corsair Vengeance LPX 16GB (2 x 8GB),AMD Ryzen 5 5600X,6,2023-07-18
Lakshmi Gupta,ASRock X570 Taichi,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i5-11600K,4,2023-07-18
Meera Krishnan,ASUS Prime X570-Pro,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 7 3700X,4,2023-07-17
Karthik Balakrishnan,ASRock B550 Steel Legend,Corsair Vengeance RGB Pro 32GB (2 x 16GB),Intel Core i7-11700K,7,2023-07-18
Ravi Gupta,ASRock Z590 Extreme WiFi 6E,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i5-11600K,5,2023-07-20
Rahul Mukherjee,ASRock X570 Taichi,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 9 5950X,1,2023-07-19
Sanjay Ramanathan,MSI MAG B460M Mortar,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i9-10900K,3,2023-07-18
Nithya Balakrishnan,ASUS ROG Strix B550-F Gaming,Crucial Ballistix RGB 16GB (2 x 8GB),Intel Core i7-10700K,5,2023-07-20
Prakash Mohan,ASUS ROG Strix B550-F Gaming,ADATA XPG Gammix D10 32GB (2 x 16GB),Intel Core i9-10900K,5,2023-07-18
Arjun Balakrishnan,ASUS Prime X570-Pro,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 5 5600X,3,2023-07-18
Karthik Verma,GIGABYTE B550 AORUS Elite,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 7 3700X,6,2023-07-15
Nithya Mohan,GIGABYTE Z490 AORUS Elite AC,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 7 3700X,1,2023-07-17
Deepika Kumar,ASUS Prime X570-Pro,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i7-10700K,2,2023-07-16
Swathi Sharma,ASRock Z590 Extreme WiFi 6E,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 7 3700X,5,2023-07-20
Amit Malhotra,ASUS Prime X570-Pro,Crucial Ballistix RGB 16GB (2 x 8GB),AMD Ryzen 5 5600X,7,2023-07-17
Meera Subramanian,MSI MAG B460M Mortar,Corsair Vengeance LPX 16GB (2 x 8GB),AMD Ryzen 7 3700X,6,2023-07-17
Ganesh Venkataraman,ASUS TUF B450-PLUS Gaming,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i7-10700K,7,2023-07-21
Anjali Mani,MSI MPG Z590 Gaming Carbon WiFi,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i7-11700K,5,2023-07-21
Nithya Singh,MSI B450 TOMAHAWK MAX,ADATA XPG Spectrix D60G 16GB (2 x 8GB),AMD Ryzen 9 5900X,1,2023-07-17
Anjali Balakrishnan,ASRock B550 Steel Legend,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 5 5600X,6,2023-07-16
Ravi Mukherjee,GIGABYTE X570 AORUS Ultra,Crucial Ballistix 16GB (2 x 8GB),AMD Ryzen 5 3600X,2,2023-07-17
Swathi Sharma,MSI MAG B460M Mortar,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i5-11600K,3,2023-07-18
Sonia Malhotra,GIGABYTE Z490 AORUS Elite AC,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 5 5600X,6,2023-07-20
Anjali Chopra,ASRock B550 Steel Legend,Corsair Vengeance LPX 16GB (2 x 8GB),AMD Ryzen 7 3700X,5,2023-07-19
Vikram Sharma,ASUS Prime X570-Pro,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 7 5800X,3,2023-07-16
Vikram Venkataraman,MSI MAG B460M Mortar,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i5-11400F,4,2023-07-19
Arjun Krishnan,MSI B450 TOMAHAWK MAX,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 9 5950X,6,2023-07-15
Lakshmi Verma,ASRock X570 Taichi,Crucial Ballistix RGB 16GB (2 x 8GB),Intel Core i5-11600K,7,2023-07-15
Arjun Narayanan,MSI MAG B460M Mortar,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i9-10900K,5,2023-07-19
Divya Mani,GIGABYTE B550 AORUS Elite,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 9 5900X,5,2023-07-16
Suresh Subramanian,ASRock B550 Steel Legend,Crucial Ballistix 16GB (2 x 8GB),AMD Ryzen 5 5600X,2,2023-07-15
Ganesh Mohan,GIGABYTE B550 AORUS Elite,Crucial Ballistix RGB 16GB (2 x 8GB),Intel Core i9-10900K,7,2023-07-17
Amit Ramanathan,GIGABYTE B550 AORUS Elite,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 7 3700X,7,2023-07-17
Prakash Krishnan,ASRock X570 Taichi,Crucial Ballistix 16GB (2 x 8GB),Intel Core i7-11700K,1,2023-07-17
Suresh Balakrishnan,MSI MPG Z590 Gaming Carbon WiFi,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 5 3600X,2,2023-07-21
Prakash Mohan,ASRock X570 Taichi,ADATA XPG Spectrix D60G 16GB (2 x 8GB),AMD Ryzen 5 5600X,5,2023-07-19
Deepika Mohan,ASUS TUF B450-PLUS Gaming,G.Skill Ripjaws V 16GB (2 x 8GB),Intel Core i5-11600K,4,2023-07-19
Deepika Sharma,ASRock X570 Taichi,G.Skill Ripjaws V 16GB (2 x 8GB),Intel Core i9-11900K,5,2023-07-17
Karthik Mohan,ASUS Prime X570-Pro,HyperX Predator RGB 16GB (2 x 8GB),AMD Ryzen 5 3600X,5,2023-07-17
Sonia Ramanathan,GIGABYTE X570 AORUS Ultra,Corsair Vengeance RGB Pro 32GB (2 x 16GB),Intel Core i5-11400F,2,2023-07-15
Nithya Choudhury,MSI MPG Z590 Gaming Carbon WiFi,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 5 5600X,2,2023-07-18
Lakshmi Iyer,GIGABYTE Z490 AORUS Elite AC,HyperX Predator RGB 16GB (2 x 8GB),AMD Ryzen 5 3600X,7,2023-07-15
Swathi Verma,ASRock B550 Steel Legend,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i9-10900K,2,2023-07-16
Amit Verma,MSI MAG B460M Mortar,Crucial Ballistix 16GB (2 x 8GB),AMD Ryzen 5 5600X,8,2023-07-16
Nithya Balakrishnan,MSI MPG Z590 Gaming Carbon WiFi,Corsair Vengeance LPX 16GB (2 x 8GB),AMD Ryzen 7 5800X,4,2023-07-16
Priya Singh,ASRock X570 Taichi,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i7-10700K,8,2023-07-16
Ganesh Mohan,MSI B450 TOMAHAWK MAX,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 9 5950X,6,2023-07-21
Rahul Mukherjee,ASRock X570 Taichi,Crucial Ballistix 16GB (2 x 8GB),Intel Core i5-11400F,7,2023-07-20
Sonia Mukherjee,MSI B450 TOMAHAWK MAX,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 5 5600X,7,2023-07-19
Suresh Narayanan,ASRock Z590 Extreme WiFi 6E,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i9-11900K,1,2023-07-15
Sanjay Patel,MSI MPG Z590 Gaming Carbon WiFi,Crucial Ballistix 16GB (2 x 8GB),AMD Ryzen 7 5800X,2,2023-07-20
Lakshmi Gupta,ASUS ROG Strix B550-F Gaming,Team T-Force Delta RGB 32GB (2 x 16GB),Intel Core i9-11900K,5,2023-07-20
Sonia Mukherjee,MSI MAG B460M Mortar,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 5 5600X,3,2023-07-16
Karthik Venkataraman,ASUS TUF B450-PLUS Gaming,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 7 5800X,3,2023-07-16
Nithya Balakrishnan,ASUS Prime X570-Pro,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i7-10700K,7,2023-07-17
Swathi Subramanian,GIGABYTE X570 AORUS Ultra,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 5 3600X,3,2023-07-20
Prakash Mukherjee,ASUS ROG Strix B550-F Gaming,Crucial Ballistix 16GB (2 x 8GB),Intel Core i5-11600K,1,2023-07-17
Karthik Rajaram,GIGABYTE X570 AORUS Ultra,HyperX Predator RGB 16GB (2 x 8GB),AMD Ryzen 9 5900X,7,2023-07-20
Karthik Patel,ASUS ROG Strix B550-F Gaming,Crucial Ballistix 16GB (2 x 8GB),Intel Core i9-11900K,1,2023-07-18
Sanjay Patel,ASRock X570 Taichi,G.Skill Trident Z RGB 32GB (2 x 16GB),Intel Core i9-10900K,8,2023-07-20
Karthik Verma,MSI B450 TOMAHAWK MAX,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i7-11700K,4,2023-07-16
Ravi Iyer,ASRock B550 Steel Legend,G.Skill Trident Z RGB 32GB (2 x 16GB),Intel Core i9-11900K,7,2023-07-21
Swathi Ramanathan,GIGABYTE B550 AORUS Elite,Team T-Force Delta RGB 32GB (2 x 16GB),AMD Ryzen 7 5800X,5,2023-07-17
Swathi Narayanan,MSI MPG Z590 Gaming Carbon WiFi,Crucial Ballistix RGB 16GB (2 x 8GB),Intel Core i9-10900K,3,2023-07-21
Swathi Malhotra,GIGABYTE B550 AORUS Elite,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 9 5900X,8,2023-07-15
Swathi Kumar,GIGABYTE X570 AORUS Ultra,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 5 5600X,8,2023-07-18
Ganesh Malhotra,ASRock X570 Taichi,Crucial Ballistix RGB 16GB (2 x 8GB),AMD Ryzen 5 3600X,7,2023-07-17
Vikram Choudhury,MSI B450 TOMAHAWK MAX,Crucial Ballistix RGB 16GB (2 x 8GB),AMD Ryzen 9 5950X,5,2023-07-19
Anjali Singh,GIGABYTE Z490 AORUS Elite AC,Crucial Ballistix 16GB (2 x 8GB),Intel Core i7-11700K,4,2023-07-17
Rahul Choudhury,ASUS ROG Strix B550-F Gaming,HyperX Predator RGB 16GB (2 x 8GB),AMD Ryzen 9 5900X,6,2023-07-19
Meera Balakrishnan,MSI MAG B460M Mortar,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 5 3600X,3,2023-07-19
Suresh Mohan,ASRock X570 Taichi,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 5 3600X,8,2023-07-17
Sonia Krishnan,ASUS TUF B450-PLUS Gaming,Corsair Vengeance LPX 16GB (2 x 8GB),AMD Ryzen 7 5800X,6,2023-07-16
Sonia Sharma,ASUS Prime X570-Pro,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 9 5950X,2,2023-07-21
Vikram Venkataraman,MSI B450 TOMAHAWK MAX,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 7 3700X,8,2023-07-15
Ravi Venkataraman,GIGABYTE B550 AORUS Elite,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 5 3600X,5,2023-07-15
Vikram Chopra,ASRock X570 Taichi,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i5-11600K,6,2023-07-18
Suresh Balakrishnan,GIGABYTE Z490 AORUS Elite AC,Crucial Ballistix RGB 16GB (2 x 8GB),Intel Core i5-11400F,4,2023-07-16
Suresh Mohan,MSI MPG Z590 Gaming Carbon WiFi,Team T-Force Delta RGB 32GB (2 x 16GB),Intel Core i9-11900K,3,2023-07-17
Amit Narayanan,MSI MPG Z590 Gaming Carbon WiFi,Crucial Ballistix 16GB (2 x 8GB),Intel Core i9-10900K,1,2023-07-19
Divya Choudhury,MSI B450 TOMAHAWK MAX,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i7-10700K,8,2023-07-19
Sanjay Patel,ASRock B550 Steel Legend,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i7-10700K,6,2023-07-21
Prakash Rajaram,ASUS TUF B450-PLUS Gaming,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 7 3700X,4,2023-07-16
Rahul Malhotra,GIGABYTE B550 AORUS Elite,Team T-Force Delta RGB 32GB (2 x 16GB),AMD Ryzen 7 5800X,5,2023-07-16
Vikram Krishnan,MSI MPG Z590 Gaming Carbon WiFi,G.Skill Ripjaws V 16GB (2 x 8GB),Intel Core i5-11400F,4,2023-07-18
Karthik Subramanian,MSI MAG B460M Mortar,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i5-11600K,6,2023-07-19
Divya Balakrishnan,MSI MAG B460M Mortar,Team T-Force Delta RGB 32GB (2 x 16GB),Intel Core i7-11700K,2,2023-07-17
Deepika Choudhury,ASUS ROG Strix B550-F Gaming,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 9 5950X,4,2023-07-19
Swathi Verma,ASUS Prime X570-Pro,ADATA XPG Spectrix D60G 16GB (2 x 8GB),AMD Ryzen 5 3600X,2,2023-07-20
Suresh Singh,ASRock X570 Taichi,Team T-Force Delta RGB 32GB (2 x 16GB),AMD Ryzen 9 5900X,1,2023-07-21
Nithya Verma,MSI B450 TOMAHAWK MAX,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 5 3600X,5,2023-07-21
Anjali Iyer,GIGABYTE Z490 AORUS Elite AC,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 5 5600X,5,2023-07-20
Ganesh Verma,ASRock X570 Taichi,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i9-11900K,3,2023-07-16
Rahul Iyer,ASUS TUF B450-PLUS Gaming,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i9-10900K,3,2023-07-21
Anjali Gupta,MSI B450 TOMAHAWK MAX,ADATA XPG Gammix D10 32GB (2 x 16GB),Intel Core i9-10900K,1,2023-07-20
Vikram Ramanathan,MSI B450 TOMAHAWK MAX,Corsair Vengeance RGB Pro 32GB (2 x 16GB),Intel Core i5-11600K,4,2023-07-20
Sanjay Choudhury,GIGABYTE Z490 AORUS Elite AC,G.Skill Trident Z RGB 32GB (2 x 16GB),Intel Core i7-10700K,1,2023-07-19
Ganesh Mukherjee,MSI MPG Z590 Gaming Carbon WiFi,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i7-11700K,1,2023-07-20
Divya Venkataraman,MSI MAG B460M Mortar,ADATA XPG Spectrix D60G 16GB (2 x 8GB),AMD Ryzen 5 3600X,2,2023-07-20
Karthik Krishnan,ASUS Prime X570-Pro,Crucial Ballistix RGB 16GB (2 x 8GB),AMD Ryzen 7 5800X,2,2023-07-19
Rahul Venkataraman,MSI B450 TOMAHAWK MAX,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i5-11400F,2,2023-07-20
Meera Verma,MSI B450 TOMAHAWK MAX,Crucial Ballistix RGB 16GB (2 x 8GB),AMD Ryzen 7 5800X,6,2023-07-17
Sanjay Mukherjee,MSI B450 TOMAHAWK MAX,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 5 5600X,6,2023-07-17
Ravi Verma,ASUS ROG Strix B550-F Gaming,Team T-Force Delta RGB 32GB (2 x 16GB),Intel Core i5-11400F,6,2023-07-16
Swathi Balakrishnan,MSI MPG Z590 Gaming Carbon WiFi,Corsair Vengeance LPX 16GB (2 x 8GB),AMD Ryzen 9 5900X,8,2023-07-15
Ravi Verma,GIGABYTE Z490 AORUS Elite AC,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i7-10700K,8,2023-07-15
Arjun Narayanan,MSI MAG B460M Mortar,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i5-11600K,7,2023-07-21
Deepika Mani,GIGABYTE B550 AORUS Elite,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i5-11400F,2,2023-07-16
Suresh Mukherjee,ASRock X570 Taichi,Crucial Ballistix RGB 16GB (2 x 8GB),Intel Core i7-11700K,2,2023-07-21
Deepika Subramanian,MSI MAG B460M Mortar,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i7-10700K,3,2023-07-18
Nithya Iyer,ASUS TUF B450-PLUS Gaming,Team T-Force Delta RGB 32GB (2 x 16GB),Intel Core i7-10700K,8,2023-07-16
Nithya Mohan,ASUS TUF B450-PLUS Gaming,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 5 3600X,7,2023-07-18
Arjun Ramanathan,MSI MAG B460M Mortar,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i5-11400F,2,2023-07-18
Ganesh Mukherjee,ASRock X570 Taichi,Crucial Ballistix RGB 16GB (2 x 8GB),Intel Core i5-11400F,2,2023-07-21
Suresh Verma,MSI MAG B460M Mortar,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 9 5900X,6,2023-07-17
Lakshmi Singh,GIGABYTE B550 AORUS Elite,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i9-11900K,3,2023-07-18
Arjun Mukherjee,MSI MPG Z590 Gaming Carbon WiFi,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 7 5800X,3,2023-07-21
Deepika Balakrishnan,MSI MPG Z590 Gaming Carbon WiFi,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 7 3700X,7,2023-07-15
Karthik Kumar,ASUS TUF B450-PLUS Gaming,Team T-Force Delta RGB 32GB (2 x 16GB),Intel Core i5-11600K,4,2023-07-21
Prakash Narayanan,ASUS Prime X570-Pro,ADATA XPG Gammix D10 32GB (2 x 16GB),Intel Core i7-11700K,7,2023-07-20
Nithya Subramanian,ASUS TUF B450-PLUS Gaming,ADATA XPG Spectrix D60G 16GB (2 x 8GB),AMD Ryzen 9 5950X,1,2023-07-21
Rahul Mani,ASRock X570 Taichi,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 5 3600X,8,2023-07-18
Meera Balakrishnan,GIGABYTE X570 AORUS Ultra,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 9 5900X,6,2023-07-16
Karthik Balakrishnan,GIGABYTE B550 AORUS Elite,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 9 5900X,7,2023-07-19
Arjun Iyer,ASRock B550 Steel Legend,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i7-11700K,3,2023-07-19
Sonia Mani,ASUS Prime X570-Pro,Crucial Ballistix 16GB (2 x 8GB),AMD Ryzen 7 3700X,2,2023-07-16
Anjali Verma,ASUS Prime X570-Pro,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i9-10900K,2,2023-07-20
Nithya Malhotra,ASRock X570 Taichi,Crucial Ballistix 16GB (2 x 8GB),Intel Core i5-11600K,7,2023-07-16
Sanjay Patel,GIGABYTE X570 AORUS Ultra,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i9-10900K,7,2023-07-21
Lakshmi Chopra,ASRock X570 Taichi,Crucial Ballistix 16GB (2 x 8GB),Intel Core i5-11600K,6,2023-07-15
Nithya Gupta,ASUS Prime X570-Pro,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i9-11900K,1,2023-07-19
Ganesh Subramanian,MSI B450 TOMAHAWK MAX,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 9 5950X,2,2023-07-21
Anjali Rajaram,MSI MPG Z590 Gaming Carbon WiFi,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 5 3600X,3,2023-07-16
Suresh Chopra,GIGABYTE B550 AORUS Elite,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 7 5800X,1,2023-07-15
Nithya Ramanathan,GIGABYTE X570 AORUS Ultra,Crucial Ballistix 16GB (2 x 8GB),Intel Core i7-10700K,1,2023-07-15
Vikram Narayanan,ASRock X570 Taichi,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i7-10700K,5,2023-07-16
Priya Choudhury,ASRock Z590 Extreme WiFi 6E,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 5 5600X,3,2023-07-21
Divya Gupta,ASUS ROG Strix B550-F Gaming,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i7-10700K,8,2023-07-19
Divya Gupta,GIGABYTE Z490 AORUS Elite AC,Corsair Vengeance LPX 16GB (2 x 8GB),AMD Ryzen 9 5950X,6,2023-07-21
Swathi Krishnan,GIGABYTE X570 AORUS Ultra,Team T-Force Delta RGB 32GB (2 x 16GB),AMD Ryzen 9 5950X,5,2023-07-20
Ravi Iyer,ASUS TUF B450-PLUS Gaming,ADATA XPG Gammix D10 32GB (2 x 16GB),Intel Core i9-11900K,1,2023-07-15
Swathi Verma,MSI MPG Z590 Gaming Carbon WiFi,Crucial Ballistix 16GB (2 x 8GB),Intel Core i9-10900K,2,2023-07-16
Karthik Choudhury,MSI MAG B460M Mortar,ADATA XPG Gammix D10 32GB (2 x 16GB),Intel Core i7-10700K,8,2023-07-21
Suresh Sharma,MSI MAG B460M Mortar,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i5-11400F,7,2023-07-16
Rahul Sharma,ASUS ROG Strix B550-F Gaming,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i5-11600K,1,2023-07-20
Lakshmi Mohan,MSI MAG B460M Mortar,Corsair Vengeance LPX 16GB (2 x 8GB),AMD Ryzen 7 5800X,6,2023-07-16
Priya Subramanian,ASRock B550 Steel Legend,Crucial Ballistix RGB 16GB (2 x 8GB),Intel Core i9-11900K,3,2023-07-21
Arjun Singh,ASUS TUF B450-PLUS Gaming,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 5 3600X,6,2023-07-15
Vikram Singh,GIGABYTE X570 AORUS Ultra,Crucial Ballistix 16GB (2 x 8GB),AMD Ryzen 5 3600X,8,2023-07-18
Anjali Rajaram,ASRock B550 Steel Legend,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 9 5950X,1,2023-07-17
Ganesh Patel,ASUS ROG Strix B550-F Gaming,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i5-11600K,5,2023-07-15
Sanjay Choudhury,MSI B450 TOMAHAWK MAX,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 5 5600X,7,2023-07-18
Sonia Rajaram,MSI MPG Z590 Gaming Carbon WiFi,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i7-11700K,3,2023-07-18
Sanjay Ramanathan,ASUS Prime X570-Pro,Crucial Ballistix 16GB (2 x 8GB),AMD Ryzen 5 5600X,6,2023-07-18
Vikram Mukherjee,GIGABYTE B550 AORUS Elite,Crucial Ballistix 16GB (2 x 8GB),Intel Core i7-11700K,1,2023-07-16
Amit Mukherjee,ASUS Prime X570-Pro,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 5 3600X,6,2023-07-15
